config_id,model_class,dataset_src,config_label,triplet,prune_rate,prune_object,prune_criterion,stage0_planes,stage1_planes,stage2_planes,deblocks_keep,shrink_keep,params_total,finetune_epochs,ckpt_status,stage0_prec,stage1_prec,stage2_prec,q_mode,q_granularity,q_object,calibrator,hardware,d_scheme,d_tactic,d_workspace_gb,latency_kind,lat_p50_ms,lat_p99_ms,lat_mean_ms,throughput_fps,throughput_kind,batch,ap30,ap50,ap70,n_ap_samples,ap_pipeline,ap_baseline_ref,delta_ap50_vs_baseline,mATE,mASE,mAOE,mAOE_ci_lo,mAOE_ci_hi,mAOE_n_tp,mAOE_basis,metric_pipeline,mean_power_w,energy_per_frame_mj,perf_per_watt_fps_per_w,engine_size_mb,fp16_layer_count,int8_layer_count,build_secs,eff_gmac_per_ms,nominal_gmac,ap70_by_range,is_real_measured,ap_valid,regime,ap_reuse_basis,source,exec_path,ts,onnx_path,engine_path,config_json,latency_inject_ms,latency_ms_source,isolation,sim_route_id,sim_arm,sim_route_set,n_repeat,rsu_enabled,cl_driving_score,cl_route_completion,cl_infraction_penalty,cl_collision_ped,cl_collision_veh,cl_collision_layout,cl_red_light,cl_outside_lanes,cl_zoh_age_mean,cl_delta_frames,cl_zoh_held_frac,cl_audit_frames,cl_duration_system_s,cl_route_length_m,cl_status,notes
pyr_64-128-256_FP16,pyramid_fusion,complete_points_v1,rtx4090_base_fp16,T1_base,0.0,none,l1_norm,64,128,256,1.0,1.0,5464791.0,,pretrained,FP16,FP16,FP16,uniform,none,none,none,rtx4090,GPU,default,4.0,body_subnet_collab2,1.2715,1.2768,1.2716,786.4,inv_latency,1,0.8331590992961461,0.7910410096521415,0.6308636231895992,1789.0,DAIR_val_1789_TRT,,,0.230503,0.129486,0.059815,0.058608,0.06101,26686.0,measured,"mAOE:DAIR_val_1789_全集(1618_TRT_collab+171_PyTorch_fallback); CI:同人口全集_bootstrap_B=1000_95%CI(ISS-024修正,共同GT); mAOE=min(|Δyaw|mod_π,π-|Δyaw|mod_π); scripts/phase2/eval_tp_errors_corrected_full.py",372.77,462.4518,2.16,12.651,,,58.3,,,"{""near"": 0.7513, ""mid"": 0.6416, ""r50_60"": 0.5451, ""r60_80"": 0.5187, ""r80plus"": 0.4845, ""far50plus"": 0.5225, ""full"": 0.6309}",True,True,front,stage_a_gold_exact_reuse,lat:trt_build_bench;engine_size:engine_file;ap:prior_eval | latency:m4_9_bench_perstage_v2;stage_a_xref;TRT-auto-uniform;CUDA-Event;collab2_shape,depgraph,2026-06-01T00:24:31,models/pyramid_dair_m1_subnet_fp32.onnx,models/stage_a_cache/base_fp16.engine,"{""prune"": {""stage_planes"": [64, 128, 256], ""deblocks_keep"": 1.0, ""shrink_keep"": 1.0, ""object"": ""none"", ""criterion"": ""l1_norm""}, ""quant"": {""stage_prec"": [""FP16"", ""FP16"", ""FP16""], ""granularity"": ""none"", ""object"": ""none"", ""calibrator"": ""none""}, ""hw"": {""hardware"": ""rtx4090"", ""d_scheme"": ""GPU""}}",,,,,,,,,,,,,,,,,,,,,,,,"latency=body_subnet_collab2 (reuse collab2 global): global_fp16_automix/base; idle_gpu[phys6;baseline util0%/mem4MiB;foreign=none(200/200)]; warmup200/measure200; input=2x64x128x256; AP/结构沿用源1单agent真测 (同 backbone, 精度一致) | energy: E5 collab2 双agent NVML 实测(frame=1) | E 距离分箱 ap70(pathE 负结果: spread 随距离收缩非放大, 远距离 AP floor) | mATE/mASE/mAOE+CI: TP几何误差(ISS-020/024/029终核PASS,剪枝约束信号)"
pyr_64-128-256_INT8,pyramid_fusion,complete_points_v1,rtx4090_base_int8,T1_base,0.0,none,l1_norm,64,128,256,1.0,1.0,5464791.0,,pretrained,INT8,INT8,INT8,uniform,per-channel,W+A,minmax,rtx4090,GPU,default,4.0,body_subnet_collab2,0.8113,0.8161,0.8124,1230.9,inv_latency,1,0.8338219845153892,0.7904978982076492,0.6228087762611115,1789.0,DAIR_val_1789_TRT,,,0.234118,0.131092,0.062794,0.061506,0.064046,26751.0,measured,"mAOE:DAIR_val_1789_全集(1618_TRT_collab+171_PyTorch_fallback); CI:同人口全集_bootstrap_B=1000_95%CI(ISS-024修正,共同GT); mAOE=min(|Δyaw|mod_π,π-|Δyaw|mod_π); scripts/phase2/eval_tp_errors_corrected_full.py",330.24,261.0653,3.83,8.642,,,141.4,,,"{""near"": 0.7463, ""mid"": 0.6297, ""r50_60"": 0.5259, ""r60_80"": 0.5171, ""r80plus"": 0.4837, ""far50plus"": 0.515, ""full"": 0.6232}",True,True,front,stage_a_gold_exact_reuse,lat:trt_build_bench;engine_size:engine_file;ap:stage_a_ap_real(gold) | latency:m4_9_bench_perstage_v2;stage_a_xref;TRT-auto-uniform;CUDA-Event;collab2_shape,depgraph,2026-06-01T00:24:31,models/pyramid_dair_m1_subnet_fp32.onnx,models/stage_a_cache/base_int8.engine,"{""prune"": {""stage_planes"": [64, 128, 256], ""deblocks_keep"": 1.0, ""shrink_keep"": 1.0, ""object"": ""none"", ""criterion"": ""l1_norm""}, ""quant"": {""stage_prec"": [""INT8"", ""INT8"", ""INT8""], ""granularity"": ""per-channel"", ""object"": ""W+A"", ""calibrator"": ""minmax""}, ""hw"": {""hardware"": ""rtx4090"", ""d_scheme"": ""GPU""}}",,,,,,,,,,,,,,,,,,,,,,,,"latency=body_subnet_collab2 (reuse collab2 global): global_int8_automix/base; idle_gpu[phys6;baseline util0%/mem4MiB;foreign=none(200/200)]; warmup200/measure200; input=2x64x128x256; AP/结构沿用源1单agent真测 (同 backbone, 精度一致) | energy: E5 collab2 双agent NVML 实测(frame=1) | E 距离分箱 ap70(pathE 负结果: spread 随距离收缩非放大, 远距离 AP floor) | mATE/mASE/mAOE+CI: TP几何误差(ISS-020/024/029终核PASS,剪枝约束信号)"
pyr_48-96-192_FP16,pyramid_fusion,complete_points_v1,rtx4090_sens_prune_25,T2_p25,0.25,channel,l1_norm,48,96,192,1.0,1.0,3716679.0,23.0,pruned_finetuned,FP16,FP16,FP16,uniform,none,none,none,rtx4090,GPU,default,4.0,body_subnet_collab2,2.9051,2.9197,2.9125,343.3,inv_latency,1,0.8244337699817538,0.7769392127544705,0.5904723815291678,1789.0,DAIR_val_1789_TRT,,,0.240892,0.133684,0.06735,0.065882,0.068862,26238.0,measured,"mAOE:DAIR_val_1789_全集(1618_TRT_collab+171_PyTorch_fallback); CI:同人口全集_bootstrap_B=1000_95%CI(ISS-024修正,共同GT); mAOE=min(|Δyaw|mod_π,π-|Δyaw|mod_π); scripts/phase2/eval_tp_errors_corrected_full.py",370.09,1065.2781,0.94,13.495,,,63.9,,,,True,True,front,stage_a_gold_exact_reuse,lat:trt_build_bench;engine_size:engine_file;ap:stage_a_ap_real(gold) | latency:m4_9_bench_p25_collab2;CUDA-Event;collab2_shape;new-measure,handwritten_pyramid,2026-06-01T00:24:31,output/doe_dataset_v1/real_engines/pruned_p25_subnet_fp32.onnx,models/stage_a_cache/pruned25_fp16.engine,"{""prune"": {""stage_planes"": [48, 96, 192], ""deblocks_keep"": 1.0, ""shrink_keep"": 1.0, ""object"": ""channel"", ""criterion"": ""l1_norm""}, ""quant"": {""stage_prec"": [""FP16"", ""FP16"", ""FP16""], ""granularity"": ""none"", ""object"": ""none"", ""calibrator"": ""none""}, ""hw"": {""hardware"": ""rtx4090"", ""d_scheme"": ""GPU""}}",,,,,,,,,,,,,,,,,,,,,,,,"latency=body_subnet_collab2 (NEW real-measure): global_fp16_automix/pruned25; idle_gpu[phys6;baseline util0%/mem4MiB;foreign=none(200/200)]; warmup200/measure200; input=2x64x128x256; AP/结构沿用源1单agent真测 (同 backbone, 精度一致) | energy: E5 collab2 双agent NVML 实测(frame=1) | lat 更新为 hw GPU7-clean rebaseline 2.905ms(旧 2.946 noise内, 同 collab2) | mATE/mASE/mAOE+CI: TP几何误差(ISS-020/024/029终核PASS,剪枝约束信号)"
pyr_32-64-128_FP16,pyramid_fusion,complete_points_v1,rtx4090_sens_prune_50,T4_p50,0.5,channel,l1_norm,32,64,128,1.0,1.0,2581367.0,23.0,pruned_finetuned,FP16,FP16,FP16,uniform,none,none,none,rtx4090,GPU,default,4.0,body_subnet_collab2,1.0138,1.0189,1.0139,986.3,inv_latency,1,0.8182540380073546,0.7644278293218837,0.5641315043713827,1789.0,DAIR_val_1789_TRT,,,0.247668,0.135564,0.069562,0.06797,0.071278,26154.0,measured,"mAOE:DAIR_val_1789_全集(1618_TRT_collab+171_PyTorch_fallback); CI:同人口全集_bootstrap_B=1000_95%CI(ISS-024修正,共同GT); mAOE=min(|Δyaw|mod_π,π-|Δyaw|mod_π); scripts/phase2/eval_tp_errors_corrected_full.py; WARN:ISS-029_pruned50_AP70_eval偏stage_a+0.009(两精度同向),AP保留stage_a",436.45,433.5189,2.31,7.551,,,68.1,,,,True,True,front,stage_a_gold_exact_reuse,lat:trt_build_bench;engine_size:engine_file;ap:stage_a_ap_real(gold) | latency:m4_9_bench_perstage_v2;stage_a_xref;TRT-auto-uniform;CUDA-Event;collab2_shape,handwritten_pyramid,2026-06-01T00:24:31,output/doe_dataset_v1/real_engines/pruned_p50_subnet_fp32.onnx,models/stage_a_cache/pruned50_fp16.engine,"{""prune"": {""stage_planes"": [32, 64, 128], ""deblocks_keep"": 1.0, ""shrink_keep"": 1.0, ""object"": ""channel"", ""criterion"": ""l1_norm""}, ""quant"": {""stage_prec"": [""FP16"", ""FP16"", ""FP16""], ""granularity"": ""none"", ""object"": ""none"", ""calibrator"": ""none""}, ""hw"": {""hardware"": ""rtx4090"", ""d_scheme"": ""GPU""}}",,,,,,,,,,,,,,,,,,,,,,,,"latency=body_subnet_collab2 (reuse collab2 global): global_fp16_automix/pruned50; idle_gpu[phys6;baseline util0%/mem4MiB;foreign=none(200/200)]; warmup200/measure200; input=2x64x128x256; AP/结构沿用源1单agent真测 (同 backbone, 精度一致) | energy: E5 collab2 双agent NVML 实测(frame=1) | mATE/mASE/mAOE+CI: TP几何误差(ISS-020/024/029终核PASS,剪枝约束信号) ⚠️ISS-029:pruned50-AP70偏gold+0.009"
pyr_16-32-64_FP16,pyramid_fusion,complete_points_v1,rtx4090_sens_prune_75,T6_p75,0.75,channel,l1_norm,16,32,64,1.0,1.0,1836135.0,23.0,pruned_finetuned,FP16,FP16,FP16,uniform,none,none,none,rtx4090,GPU,default,4.0,body_subnet_collab2,0.7681,1.4832,0.8083,1237.1,inv_latency,1,0.8159088887034824,0.7566691198482532,0.5299883430444458,1789.0,DAIR_val_1789_TRT,,,0.260239,0.138482,0.084255,0.081695,0.086757,25924.0,measured,"mAOE:DAIR_val_1789_全集(1618_TRT_collab+171_PyTorch_fallback); CI:同人口全集_bootstrap_B=1000_95%CI(ISS-024修正,共同GT); mAOE=min(|Δyaw|mod_π,π-|Δyaw|mod_π); scripts/phase2/eval_tp_errors_corrected_full.py; WARN:pruned75_AP70_eval_vs_stage_a_diff≤0.0002,AP保留gold",417.8,314.4557,3.18,5.907,,,76.6,,,,True,True,front,stage_a_gold_exact_reuse,lat:trt_build_bench;engine_size:engine_file;ap:stage_a_ap_real(gold) | latency:m4_9_bench_perstage_v2;stage_a_xref;TRT-auto-uniform;CUDA-Event;collab2_shape,handwritten_pyramid,2026-06-01T00:24:31,output/doe_dataset_v1/real_engines/pruned_p75_subnet_fp32.onnx,models/stage_a_cache/pruned75_fp16.engine,"{""prune"": {""stage_planes"": [16, 32, 64], ""deblocks_keep"": 1.0, ""shrink_keep"": 1.0, ""object"": ""channel"", ""criterion"": ""l1_norm""}, ""quant"": {""stage_prec"": [""FP16"", ""FP16"", ""FP16""], ""granularity"": ""none"", ""object"": ""none"", ""calibrator"": ""none""}, ""hw"": {""hardware"": ""rtx4090"", ""d_scheme"": ""GPU""}}",,,,,,,,,,,,,,,,,,,,,,,,"latency=body_subnet_collab2 (reuse collab2 global): global_fp16_automix/pruned75; idle_gpu[phys6;baseline util0%/mem4MiB;foreign=none(200/200)]; warmup200/measure200; input=2x64x128x256; AP/结构沿用源1单agent真测 (同 backbone, 精度一致) | energy: E5 collab2 双agent NVML 实测(frame=1) | mATE/mASE/mAOE+CI: TP几何误差(ISS-020/024/029终核PASS,剪枝约束信号) ⚠️pruned75-AP口径差(修正后≤0.0002)"
pyr_32-64-128_INT8,pyramid_fusion,complete_points_v1,rtx4090_pareto_p50_int8,T4_p50,0.5,channel,l1_norm,32,64,128,1.0,1.0,2581367.0,23.0,pruned_finetuned,INT8,INT8,INT8,uniform,per-channel,W+A,minmax,rtx4090,GPU,default,4.0,body_subnet_collab2,0.7956,0.8026,0.796,1256.3,inv_latency,1,0.8045315810078573,0.7522317874079408,0.5542279218664724,1789.0,DAIR_val_1789_TRT,,,0.24696,0.135777,0.069473,0.067809,0.071243,25577.0,measured,"mAOE:DAIR_val_1789_全集(1618_TRT_collab+171_PyTorch_fallback); CI:同人口全集_bootstrap_B=1000_95%CI(ISS-024修正,共同GT); mAOE=min(|Δyaw|mod_π,π-|Δyaw|mod_π); scripts/phase2/eval_tp_errors_corrected_full.py; WARN:pruned50-INT8_survivor_bias(n_tp-577,不可比); WARN:ISS-029_pruned50_AP70_eval偏stage_a+0.009(两精度同向),AP保留stage_a",369.28,287.013,3.49,4.966,,,139.7,,,"{""near"": 0.6855, ""mid"": 0.5589, ""r50_60"": 0.451, ""r60_80"": 0.4533, ""r80plus"": 0.4321, ""far50plus"": 0.451, ""full"": 0.5551}",True,True,front,stage_a_gold_exact_reuse,lat:trt_build_bench;engine_size:engine_file;ap:stage_a_ap_real(gold) | latency:m4_9_bench_perstage_v2;stage_a_xref;TRT-auto-uniform;CUDA-Event;collab2_shape,handwritten_pyramid,2026-06-01T00:24:31,output/doe_dataset_v1/real_engines/pruned_p50_subnet_fp32.onnx,models/stage_a_cache/pruned50_int8.engine,"{""prune"": {""stage_planes"": [32, 64, 128], ""deblocks_keep"": 1.0, ""shrink_keep"": 1.0, ""object"": ""channel"", ""criterion"": ""l1_norm""}, ""quant"": {""stage_prec"": [""INT8"", ""INT8"", ""INT8""], ""granularity"": ""per-channel"", ""object"": ""W+A"", ""calibrator"": ""minmax""}, ""hw"": {""hardware"": ""rtx4090"", ""d_scheme"": ""GPU""}}",,,,,,,,,,,,,,,,,,,,,,,,"latency=body_subnet_collab2 (reuse collab2 global): global_int8_automix/pruned50; idle_gpu[phys6;baseline util0%/mem4MiB;foreign=none(200/200)]; warmup200/measure200; input=2x64x128x256; AP/结构沿用源1单agent真测 (同 backbone, 精度一致) | energy: E5 collab2 双agent NVML 实测(frame=1) | E 距离分箱 ap70(pathE 负结果: spread 随距离收缩非放大, 远距离 AP floor) | mATE/mASE/mAOE+CI: TP几何误差(ISS-020/024/029终核PASS,剪枝约束信号) ⚠️pruned50-INT8幸存者偏差(n_tp-577) ⚠️ISS-029:pruned50-AP70偏gold+0.009"
pyr_16-32-64_III,pyramid_fusion,perstage_AP_v2,global_int8_automix,T_prune75,0.75,channel,l1_norm,16,32,64,1.0,1.0,,23.0,pruned_finetuned,INT8,INT8,INT8,auto,per_channel_w/per_tensor_a,W+A,minmax,rtx4090,GPU,default,4.0,body_subnet_collab2,0.6124,0.8007,0.64,1562.4,inv_latency,1,0.8134181963873462,0.7536784117165765,0.5236363916625001,1789.0,DAIR_val_1789_TRT,forced_all_int8_same_pipeline,0.0302479133264227,0.261503,0.140011,0.086314,0.083854,0.088785,25812.0,measured,"mAOE:DAIR_val_1789_全集(1618_TRT_collab+171_PyTorch_fallback); CI:同人口全集_bootstrap_B=1000_95%CI(ISS-024修正,共同GT); mAOE=min(|Δyaw|mod_π,π-|Δyaw|mod_π); scripts/phase2/eval_tp_errors_corrected_full.py; WARN:pruned75_AP70_eval_vs_stage_a_diff≤0.0002,AP保留gold",341.85,202.6822,4.94,4.441,,,,,,"{""near"": 0.6046, ""mid"": 0.4947, ""r50_60"": 0.4173, ""r60_80"": 0.4203, ""r80plus"": 0.4105, ""far50plus"": 0.4209, ""full"": 0.5005}",True,True,front,stage_a_gold_exact_reuse,reuse:stage_a_ap_real(reference_only) | m4_9_bench_perstage_v2;stage_a_xref;TRT-auto-uniform;CUDA-Event;collab2_shape,quant_config_mixed,,,models/stage_a_cache/pruned75_int8.engine,"{""prune"": {""stage_planes"": [16, 32, 64], ""deblocks_keep"": 1.0, ""shrink_keep"": 1.0, ""object"": ""channel"", ""criterion"": ""l1_norm""}, ""quant"": {""stage_prec"": [""INT8"", ""INT8"", ""INT8""], ""granularity"": ""per_channel_w/per_tensor_a"", ""object"": ""W+A"", ""calibrator"": ""minmax""}, ""hw"": {""hardware"": ""rtx4090"", ""d_scheme"": ""GPU""}}",,,,,,,,,,,,,,,,,,,,,,,,"latency: body_subnet_collab2; idle_gpu[phys6;baseline util0%/mem4MiB;foreign=none(200/200)]; warmup200/measure200; input=2x64x128x256; global automix = TRT-auto uniform (no per-layer constraint); engine cross-ref from stage_a_cache | energy: E5 collab2 双agent NVML 实测(frame=1) | E 距离分箱 ap70(pathE 负结果: spread 随距离收缩非放大, 远距离 AP floor) | mATE/mASE/mAOE+CI: TP几何误差(ISS-020/024/029终核PASS,剪枝约束信号) ⚠️pruned75-AP口径差(修正后≤0.0002)"
pyr_48-96-192_III_auto,pyramid_fusion,P0_1_p25_trap,p25_int8_automix,T2_p25,0.25,channel,l1_norm,48,96,192,1.0,1.0,,23.0,pruned_finetuned,INT8,INT8,INT8,auto,per_channel_w/per_tensor_a,W+A,minmax,rtx4090,GPU,default,4.0,body_subnet_collab2,2.7331,2.7385,2.7331,365.9,inv_latency,1,0.8234297575655545,0.7759955585296829,0.5840876776906867,1789.0,DAIR_val_1789_TRT,,,0.24359,0.133617,0.068207,0.06675,0.069709,26212.0,measured,"mAOE:DAIR_val_1789_全集(1618_TRT_collab+171_PyTorch_fallback); CI:同人口全集_bootstrap_B=1000_95%CI(ISS-024修正,共同GT); mAOE=min(|Δyaw|mod_π,π-|Δyaw|mod_π); scripts/phase2/eval_tp_errors_corrected_full.py",322.18,877.5584,1.14,11.517,,,,,,,True,True,front,stage_a_gold_exact_reuse,lat+energy:P0_1_p25_int8_trap_4090.csv(hw GPU7 collab2 NVML-idle-excl); ap:stage_a_ap_real(gold; 同引擎 stage_a_cache/pruned25_int8.engine),trt_engine_collab2_nvml,,,models/stage_a_cache/pruned25_int8.engine,"{""prune"": {""stage_planes"": [48, 96, 192], ""deblocks_keep"": 1.0, ""shrink_keep"": 1.0, ""object"": ""channel"", ""criterion"": ""l1_norm""}, ""quant"": {""stage_prec"": [""INT8"", ""INT8"", ""INT8""], ""granularity"": ""per_channel_w/per_tensor_a"", ""object"": ""W+A"", ""calibrator"": ""minmax""}, ""hw"": {""hardware"": ""rtx4090"", ""d_scheme"": ""GPU""}}",,,,,,,,,,,,,,,,,,,,,,,,"P0-1 耦合矩阵补格: prune0.25×INT8(TRT-auto) 完整点. AP(stage_a 金标准)+lat/energy(hw collab2 GPU7) 同引擎. 陷阱: INT8 加速仅 1.06x(对齐档 1.25-1.57x), 非对齐 48 通道 kernel-selection cliff(profile 实证). | mATE/mASE/mAOE+CI: TP几何误差(ISS-020/024/029终核PASS,剪枝约束信号)"
pyr_32-64-136_FP16,pyramid_fusion,P0_2_136,p50b2_136_fp16,T_prune50b2_136,0.5,channel,l1_norm,32,64,136,1.0,1.0,,35.0,pruned_finetuned,FP16,FP16,FP16,uniform,per_channel_w/per_tensor_a,W+A,minmax,rtx4090,GPU,default,4.0,body_subnet_collab2,1.0825,1.0896,,923.8,inv_latency,1,0.8270852477130309,0.7876921123503781,0.6425296366136182,1789.0,DAIR_val_1789_TRT,,,,,,,,,,,369.49,399.171,2.5,8.003,,,,47.32,51.245,,True,True,front,independent_measured,ap:p0_2_136_ap.json(逐engine 4dp); lat+energy:P0_2_136_hw.csv(collab2 GPU1 NVML-idle-excl),trt_engine_collab2_nvml,,,/home/jichengzhi/UniV2X/models/stage_a_cache/p50b2_136_fp16.engine,"{""prune"": {""stage_planes"": [32, 64, 136], ""deblocks_keep"": 1.0, ""shrink_keep"": 1.0, ""object"": ""channel"", ""criterion"": ""l1_norm""}, ""quant"": {""stage_prec"": [""FP16"", ""FP16"", ""FP16""], ""granularity"": ""per_channel_w/per_tensor_a"", ""object"": ""W+A"", ""calibrator"": ""minmax""}, ""hw"": {""hardware"": ""rtx4090"", ""d_scheme"": ""GPU""}}",,,,,,,,,,,,,,,,,,,,,,,,"P0-2 非对齐宽度完整点: stage2=136 非32倍数。INT8 加速 1.34x(对齐档 1.25-1.57x 内, 无 kernel-cliff)→ 反证耦合陷阱 scope 限 grouped-conv(3x3 g32), 1×1 conv 非对齐不触发。"
pyr_32-64-136_INT8,pyramid_fusion,P0_2_136,p50b2_136_int8,T_prune50b2_136,0.5,channel,l1_norm,32,64,136,1.0,1.0,,35.0,pruned_finetuned,INT8,INT8,INT8,uniform,per_channel_w/per_tensor_a,W+A,minmax,rtx4090,GPU,default,4.0,body_subnet_collab2,0.8077,0.81,,1238.1,inv_latency,1,0.8299358874067211,0.787934733769357,0.6389240631774932,1789.0,DAIR_val_1789_TRT,,,,,,,,,,,333.96,267.426,3.707,5.21,,,,63.47,51.245,,True,True,front,independent_measured,ap:p0_2_136_ap.json(逐engine 4dp); lat+energy:P0_2_136_hw.csv(collab2 GPU1 NVML-idle-excl),trt_engine_collab2_nvml,,,/home/jichengzhi/UniV2X/models/stage_a_cache/p50b2_136_int8.engine,"{""prune"": {""stage_planes"": [32, 64, 136], ""deblocks_keep"": 1.0, ""shrink_keep"": 1.0, ""object"": ""channel"", ""criterion"": ""l1_norm""}, ""quant"": {""stage_prec"": [""INT8"", ""INT8"", ""INT8""], ""granularity"": ""per_channel_w/per_tensor_a"", ""object"": ""W+A"", ""calibrator"": ""minmax""}, ""hw"": {""hardware"": ""rtx4090"", ""d_scheme"": ""GPU""}}",,,,,,,,,,,,,,,,,,,,,,,,"P0-2 非对齐宽度完整点: stage2=136 非32倍数。INT8 加速 1.34x(对齐档 1.25-1.57x 内, 无 kernel-cliff)→ 反证耦合陷阱 scope 限 grouped-conv(3x3 g32), 1×1 conv 非对齐不触发。"
