config_id,model_class,dataset_src,config_label,triplet,prune_rate,prune_object,prune_criterion,stage0_planes,stage1_planes,stage2_planes,deblocks_keep,shrink_keep,finetune_epochs,ckpt_status,stage0_prec,stage1_prec,stage2_prec,q_mode,q_granularity,q_object,calibrator,hardware,d_scheme,d_tactic,d_workspace_gb,latency_kind,lat_p50_ms,throughput_fps,throughput_kind,batch,ap70,n_ap_samples,ap_pipeline,ap_baseline_ref,mATE,mASE,mAOE,mAOE_ci_lo,mAOE_ci_hi,mAOE_n_tp,mAOE_basis,metric_pipeline,energy_per_frame_mj,engine_size_mb,fp16_layer_count,int8_layer_count,build_secs,eff_gmac_per_ms,nominal_gmac,ap70_by_range,is_real_measured,ap_valid,regime,ap_reuse_basis,source,exec_path,ts,onnx_path,engine_path,config_json,latency_inject_ms,cl_driving_score,cl_route_completion,notes
pyr_64-128-256_FP16,pyramid_fusion,complete_points_v1,rtx4090_base_fp16,T1_base,0.0,none,l1_norm,64,128,256,1.0,1.0,,pretrained,FP16,FP16,FP16,uniform,none,none,none,rtx4090,GPU,default,4.0,body_subnet_collab2,1.2715,786.4,inv_latency,1,0.6308636231895992,1789.0,DAIR_val_1789_TRT,,0.230503,0.129486,0.059815,0.058608,0.06101,26686.0,measured,"mAOE:DAIR_val_1789_全集(1618_TRT_collab+171_PyTorch_fallback); CI:同人口全集_bootstrap_B=1000_95%CI(ISS-024修正,共同GT); mAOE=min(|Δyaw|mod_π,π-|Δyaw|mod_π); scripts/phase2/eval_tp_errors_corrected_full.py",462.4518,12.651,,,58.3,,,"{""near"": 0.7513, ""mid"": 0.6416, ""r50_60"": 0.5451, ""r60_80"": 0.5187, ""r80plus"": 0.4845, ""far50plus"": 0.5225, ""full"": 0.6309}",True,True,front,stage_a_gold_exact_reuse,lat:trt_build_bench;engine_size:engine_file;ap:prior_eval | latency:m4_9_bench_perstage_v2;stage_a_xref;TRT-auto-uniform;CUDA-Event;collab2_shape,depgraph,2026-06-01T00:24:31,models/pyramid_dair_m1_subnet_fp32.onnx,models/stage_a_cache/base_fp16.engine,"{""prune"": {""stage_planes"": [64, 128, 256], ""deblocks_keep"": 1.0, ""shrink_keep"": 1.0, ""object"": ""none"", ""criterion"": ""l1_norm""}, ""quant"": {""stage_prec"": [""FP16"", ""FP16"", ""FP16""], ""granularity"": ""none"", ""object"": ""none"", ""calibrator"": ""none""}, ""hw"": {""hardware"": ""rtx4090"", ""d_scheme"": ""GPU""}}",,,,"latency=body_subnet_collab2 (reuse collab2 global): global_fp16_automix/base; idle_gpu[phys6;baseline util0%/mem4MiB;foreign=none(200/200)]; warmup200/measure200; input=2x64x128x256; AP/结构沿用源1单agent真测 (同 backbone, 精度一致) | energy: E5 collab2 双agent NVML 实测(frame=1) | E 距离分箱 ap70(pathE 负结果: spread 随距离收缩非放大, 远距离 AP floor) | mATE/mASE/mAOE+CI: TP几何误差(ISS-020/024/029终核PASS,剪枝约束信号)"
pyr_64-128-256_INT8,pyramid_fusion,complete_points_v1,rtx4090_base_int8,T1_base,0.0,none,l1_norm,64,128,256,1.0,1.0,,pretrained,INT8,INT8,INT8,uniform,per-channel,W+A,minmax,rtx4090,GPU,default,4.0,body_subnet_collab2,0.8113,1230.9,inv_latency,1,0.6228087762611115,1789.0,DAIR_val_1789_TRT,,0.234118,0.131092,0.062794,0.061506,0.064046,26751.0,measured,"mAOE:DAIR_val_1789_全集(1618_TRT_collab+171_PyTorch_fallback); CI:同人口全集_bootstrap_B=1000_95%CI(ISS-024修正,共同GT); mAOE=min(|Δyaw|mod_π,π-|Δyaw|mod_π); scripts/phase2/eval_tp_errors_corrected_full.py",261.0653,8.642,,,141.4,,,"{""near"": 0.7463, ""mid"": 0.6297, ""r50_60"": 0.5259, ""r60_80"": 0.5171, ""r80plus"": 0.4837, ""far50plus"": 0.515, ""full"": 0.6232}",True,True,front,stage_a_gold_exact_reuse,lat:trt_build_bench;engine_size:engine_file;ap:stage_a_ap_real(gold) | latency:m4_9_bench_perstage_v2;stage_a_xref;TRT-auto-uniform;CUDA-Event;collab2_shape,depgraph,2026-06-01T00:24:31,models/pyramid_dair_m1_subnet_fp32.onnx,models/stage_a_cache/base_int8.engine,"{""prune"": {""stage_planes"": [64, 128, 256], ""deblocks_keep"": 1.0, ""shrink_keep"": 1.0, ""object"": ""none"", ""criterion"": ""l1_norm""}, ""quant"": {""stage_prec"": [""INT8"", ""INT8"", ""INT8""], ""granularity"": ""per-channel"", ""object"": ""W+A"", ""calibrator"": ""minmax""}, ""hw"": {""hardware"": ""rtx4090"", ""d_scheme"": ""GPU""}}",,,,"latency=body_subnet_collab2 (reuse collab2 global): global_int8_automix/base; idle_gpu[phys6;baseline util0%/mem4MiB;foreign=none(200/200)]; warmup200/measure200; input=2x64x128x256; AP/结构沿用源1单agent真测 (同 backbone, 精度一致) | energy: E5 collab2 双agent NVML 实测(frame=1) | E 距离分箱 ap70(pathE 负结果: spread 随距离收缩非放大, 远距离 AP floor) | mATE/mASE/mAOE+CI: TP几何误差(ISS-020/024/029终核PASS,剪枝约束信号)"
pyr_48-96-192_FP16,pyramid_fusion,complete_points_v1,rtx4090_sens_prune_25,T2_p25,0.25,channel,l1_norm,48,96,192,1.0,1.0,23.0,pruned_finetuned,FP16,FP16,FP16,uniform,none,none,none,rtx4090,GPU,default,4.0,body_subnet_collab2,2.9051,343.3,inv_latency,1,0.5904723815291678,1789.0,DAIR_val_1789_TRT,,0.240892,0.133684,0.06735,0.065882,0.068862,26238.0,measured,"mAOE:DAIR_val_1789_全集(1618_TRT_collab+171_PyTorch_fallback); CI:同人口全集_bootstrap_B=1000_95%CI(ISS-024修正,共同GT); mAOE=min(|Δyaw|mod_π,π-|Δyaw|mod_π); scripts/phase2/eval_tp_errors_corrected_full.py",1065.2781,13.495,,,63.9,,,,True,True,front,stage_a_gold_exact_reuse,lat:trt_build_bench;engine_size:engine_file;ap:stage_a_ap_real(gold) | latency:m4_9_bench_p25_collab2;CUDA-Event;collab2_shape;new-measure,handwritten_pyramid,2026-06-01T00:24:31,output/doe_dataset_v1/real_engines/pruned_p25_subnet_fp32.onnx,models/stage_a_cache/pruned25_fp16.engine,"{""prune"": {""stage_planes"": [48, 96, 192], ""deblocks_keep"": 1.0, ""shrink_keep"": 1.0, ""object"": ""channel"", ""criterion"": ""l1_norm""}, ""quant"": {""stage_prec"": [""FP16"", ""FP16"", ""FP16""], ""granularity"": ""none"", ""object"": ""none"", ""calibrator"": ""none""}, ""hw"": {""hardware"": ""rtx4090"", ""d_scheme"": ""GPU""}}",,,,"latency=body_subnet_collab2 (NEW real-measure): global_fp16_automix/pruned25; idle_gpu[phys6;baseline util0%/mem4MiB;foreign=none(200/200)]; warmup200/measure200; input=2x64x128x256; AP/结构沿用源1单agent真测 (同 backbone, 精度一致) | energy: E5 collab2 双agent NVML 实测(frame=1) | lat 更新为 hw GPU7-clean rebaseline 2.905ms(旧 2.946 noise内, 同 collab2) | mATE/mASE/mAOE+CI: TP几何误差(ISS-020/024/029终核PASS,剪枝约束信号)"
pyr_32-64-128_FP16,pyramid_fusion,complete_points_v1,rtx4090_sens_prune_50,T4_p50,0.5,channel,l1_norm,32,64,128,1.0,1.0,23.0,pruned_finetuned,FP16,FP16,FP16,uniform,none,none,none,rtx4090,GPU,default,4.0,body_subnet_collab2,1.0138,986.3,inv_latency,1,0.5641315043713827,1789.0,DAIR_val_1789_TRT,,0.247668,0.135564,0.069562,0.06797,0.071278,26154.0,measured,"mAOE:DAIR_val_1789_全集(1618_TRT_collab+171_PyTorch_fallback); CI:同人口全集_bootstrap_B=1000_95%CI(ISS-024修正,共同GT); mAOE=min(|Δyaw|mod_π,π-|Δyaw|mod_π); scripts/phase2/eval_tp_errors_corrected_full.py; WARN:ISS-029_pruned50_AP70_eval偏stage_a+0.009(两精度同向),AP保留stage_a",433.5189,7.551,,,68.1,,,,True,True,front,stage_a_gold_exact_reuse,lat:trt_build_bench;engine_size:engine_file;ap:stage_a_ap_real(gold) | latency:m4_9_bench_perstage_v2;stage_a_xref;TRT-auto-uniform;CUDA-Event;collab2_shape,handwritten_pyramid,2026-06-01T00:24:31,output/doe_dataset_v1/real_engines/pruned_p50_subnet_fp32.onnx,models/stage_a_cache/pruned50_fp16.engine,"{""prune"": {""stage_planes"": [32, 64, 128], ""deblocks_keep"": 1.0, ""shrink_keep"": 1.0, ""object"": ""channel"", ""criterion"": ""l1_norm""}, ""quant"": {""stage_prec"": [""FP16"", ""FP16"", ""FP16""], ""granularity"": ""none"", ""object"": ""none"", ""calibrator"": ""none""}, ""hw"": {""hardware"": ""rtx4090"", ""d_scheme"": ""GPU""}}",,,,"latency=body_subnet_collab2 (reuse collab2 global): global_fp16_automix/pruned50; idle_gpu[phys6;baseline util0%/mem4MiB;foreign=none(200/200)]; warmup200/measure200; input=2x64x128x256; AP/结构沿用源1单agent真测 (同 backbone, 精度一致) | energy: E5 collab2 双agent NVML 实测(frame=1) | mATE/mASE/mAOE+CI: TP几何误差(ISS-020/024/029终核PASS,剪枝约束信号) ⚠️ISS-029:pruned50-AP70偏gold+0.009"
pyr_16-32-64_FP16,pyramid_fusion,complete_points_v1,rtx4090_sens_prune_75,T6_p75,0.75,channel,l1_norm,16,32,64,1.0,1.0,23.0,pruned_finetuned,FP16,FP16,FP16,uniform,none,none,none,rtx4090,GPU,default,4.0,body_subnet_collab2,0.7681,1237.1,inv_latency,1,0.5299883430444458,1789.0,DAIR_val_1789_TRT,,0.260239,0.138482,0.084255,0.081695,0.086757,25924.0,measured,"mAOE:DAIR_val_1789_全集(1618_TRT_collab+171_PyTorch_fallback); CI:同人口全集_bootstrap_B=1000_95%CI(ISS-024修正,共同GT); mAOE=min(|Δyaw|mod_π,π-|Δyaw|mod_π); scripts/phase2/eval_tp_errors_corrected_full.py; WARN:pruned75_AP70_eval_vs_stage_a_diff≤0.0002,AP保留gold",314.4557,5.907,,,76.6,,,,True,True,front,stage_a_gold_exact_reuse,lat:trt_build_bench;engine_size:engine_file;ap:stage_a_ap_real(gold) | latency:m4_9_bench_perstage_v2;stage_a_xref;TRT-auto-uniform;CUDA-Event;collab2_shape,handwritten_pyramid,2026-06-01T00:24:31,output/doe_dataset_v1/real_engines/pruned_p75_subnet_fp32.onnx,models/stage_a_cache/pruned75_fp16.engine,"{""prune"": {""stage_planes"": [16, 32, 64], ""deblocks_keep"": 1.0, ""shrink_keep"": 1.0, ""object"": ""channel"", ""criterion"": ""l1_norm""}, ""quant"": {""stage_prec"": [""FP16"", ""FP16"", ""FP16""], ""granularity"": ""none"", ""object"": ""none"", ""calibrator"": ""none""}, ""hw"": {""hardware"": ""rtx4090"", ""d_scheme"": ""GPU""}}",,,,"latency=body_subnet_collab2 (reuse collab2 global): global_fp16_automix/pruned75; idle_gpu[phys6;baseline util0%/mem4MiB;foreign=none(200/200)]; warmup200/measure200; input=2x64x128x256; AP/结构沿用源1单agent真测 (同 backbone, 精度一致) | energy: E5 collab2 双agent NVML 实测(frame=1) | mATE/mASE/mAOE+CI: TP几何误差(ISS-020/024/029终核PASS,剪枝约束信号) ⚠️pruned75-AP口径差(修正后≤0.0002)"
pyr_32-64-128_INT8,pyramid_fusion,complete_points_v1,rtx4090_pareto_p50_int8,T4_p50,0.5,channel,l1_norm,32,64,128,1.0,1.0,23.0,pruned_finetuned,INT8,INT8,INT8,uniform,per-channel,W+A,minmax,rtx4090,GPU,default,4.0,body_subnet_collab2,0.7956,1256.3,inv_latency,1,0.5542279218664724,1789.0,DAIR_val_1789_TRT,,0.24696,0.135777,0.069473,0.067809,0.071243,25577.0,measured,"mAOE:DAIR_val_1789_全集(1618_TRT_collab+171_PyTorch_fallback); CI:同人口全集_bootstrap_B=1000_95%CI(ISS-024修正,共同GT); mAOE=min(|Δyaw|mod_π,π-|Δyaw|mod_π); scripts/phase2/eval_tp_errors_corrected_full.py; WARN:pruned50-INT8_survivor_bias(n_tp-577,不可比); WARN:ISS-029_pruned50_AP70_eval偏stage_a+0.009(两精度同向),AP保留stage_a",287.013,4.966,,,139.7,,,"{""near"": 0.6855, ""mid"": 0.5589, ""r50_60"": 0.451, ""r60_80"": 0.4533, ""r80plus"": 0.4321, ""far50plus"": 0.451, ""full"": 0.5551}",True,True,front,stage_a_gold_exact_reuse,lat:trt_build_bench;engine_size:engine_file;ap:stage_a_ap_real(gold) | latency:m4_9_bench_perstage_v2;stage_a_xref;TRT-auto-uniform;CUDA-Event;collab2_shape,handwritten_pyramid,2026-06-01T00:24:31,output/doe_dataset_v1/real_engines/pruned_p50_subnet_fp32.onnx,models/stage_a_cache/pruned50_int8.engine,"{""prune"": {""stage_planes"": [32, 64, 128], ""deblocks_keep"": 1.0, ""shrink_keep"": 1.0, ""object"": ""channel"", ""criterion"": ""l1_norm""}, ""quant"": {""stage_prec"": [""INT8"", ""INT8"", ""INT8""], ""granularity"": ""per-channel"", ""object"": ""W+A"", ""calibrator"": ""minmax""}, ""hw"": {""hardware"": ""rtx4090"", ""d_scheme"": ""GPU""}}",,,,"latency=body_subnet_collab2 (reuse collab2 global): global_int8_automix/pruned50; idle_gpu[phys6;baseline util0%/mem4MiB;foreign=none(200/200)]; warmup200/measure200; input=2x64x128x256; AP/结构沿用源1单agent真测 (同 backbone, 精度一致) | energy: E5 collab2 双agent NVML 实测(frame=1) | E 距离分箱 ap70(pathE 负结果: spread 随距离收缩非放大, 远距离 AP floor) | mATE/mASE/mAOE+CI: TP几何误差(ISS-020/024/029终核PASS,剪枝约束信号) ⚠️pruned50-INT8幸存者偏差(n_tp-577) ⚠️ISS-029:pruned50-AP70偏gold+0.009"
pyr_64-128-256_III,pyramid_fusion,perstage_AP_v2,c_all_int8_forced,T_baseline,0.0,none,,64,128,256,1.0,1.0,,pretrained,INT8,INT8,INT8,uniform_forced,per_channel_w/per_tensor_a,W+A,minmax,rtx4090,GPU,default,4.0,body_subnet_collab2,0.9492,1053.3,inv_latency,1,0.6202857325224004,1789.0,DAIR_val_1789_TRT,forced_all_int8_same_pipeline,,,,,,,,,299.6979,7.821,0.0,154.0,,,,,True,True,ablation_guardrail_off,independent_measured,forced_all_int8_baseline | m4_9_bench_perstage_v2;CUDA-Event;collab2_shape,quant_config_mixed,,,models/perstage_quant_ap_cache_v2/base_c_all_int8_forced.engine,"{""prune"": {""stage_planes"": [64, 128, 256], ""deblocks_keep"": 1.0, ""shrink_keep"": 1.0, ""object"": ""none"", ""criterion"": null}, ""quant"": {""stage_prec"": [""INT8"", ""INT8"", ""INT8""], ""granularity"": ""per_channel_w/per_tensor_a"", ""object"": ""W+A"", ""calibrator"": ""minmax""}, ""hw"": {""hardware"": ""rtx4090"", ""d_scheme"": ""GPU""}}",,,,latency: body_subnet_collab2; idle_gpu[phys6;baseline:util0%/mem4MiB;pre:util0%/mem446MiB(foreign=none);post:util0%/mem446MiB]; warmup200/measure200; input=2x64x128x256; nan | energy: E5 collab2 双agent NVML 实测(frame=1)
pyr_64-128-256_IFF,pyramid_fusion,perstage_AP_v2,c3_I_F_F,T_baseline,0.0,none,,64,128,256,1.0,1.0,,pretrained,INT8,FP16,FP16,per_stage_mixed,per_channel_w/per_tensor_a,W+A,minmax,rtx4090,GPU,default,4.0,body_subnet_collab2,1.1756,850.7,inv_latency,1,0.6161547713388426,1789.0,DAIR_val_1789_TRT,forced_all_int8_same_pipeline,,,,,,,,,387.304,10.618,93.0,61.0,,,,,True,True,ablation_perstage_dominated,independent_measured,real_mixed_engine | m4_9_bench_perstage_v2;CUDA-Event;collab2_shape,quant_config_mixed,,,models/perstage_quant_ap_cache_v2/base_c3_I_F_F.engine,"{""prune"": {""stage_planes"": [64, 128, 256], ""deblocks_keep"": 1.0, ""shrink_keep"": 1.0, ""object"": ""none"", ""criterion"": null}, ""quant"": {""stage_prec"": [""INT8"", ""FP16"", ""FP16""], ""granularity"": ""per_channel_w/per_tensor_a"", ""object"": ""W+A"", ""calibrator"": ""minmax""}, ""hw"": {""hardware"": ""rtx4090"", ""d_scheme"": ""GPU""}}",,,,latency: body_subnet_collab2; idle_gpu[phys6;baseline:util0%/mem4MiB;pre:util0%/mem4MiB(foreign=none);post:util98%/mem446MiB]; warmup200/measure200; input=2x64x128x256; nan | energy: E5 collab2 双agent NVML 实测(frame=1)
pyr_64-128-256_FIF,pyramid_fusion,perstage_AP_v2,c4_F_I_F,T_baseline,0.0,none,,64,128,256,1.0,1.0,,pretrained,FP16,INT8,FP16,per_stage_mixed,per_channel_w/per_tensor_a,W+A,minmax,rtx4090,GPU,default,4.0,body_subnet_collab2,1.2104,826.2,inv_latency,1,0.6212612869074815,1789.0,DAIR_val_1789_TRT,forced_all_int8_same_pipeline,,,,,,,,,405.0894,10.423,78.0,76.0,,,,,True,True,ablation_perstage_dominated,independent_measured,real_mixed_engine | m4_9_bench_perstage_v2;CUDA-Event;collab2_shape,quant_config_mixed,,,models/perstage_quant_ap_cache_v2/base_c4_F_I_F.engine,"{""prune"": {""stage_planes"": [64, 128, 256], ""deblocks_keep"": 1.0, ""shrink_keep"": 1.0, ""object"": ""none"", ""criterion"": null}, ""quant"": {""stage_prec"": [""FP16"", ""INT8"", ""FP16""], ""granularity"": ""per_channel_w/per_tensor_a"", ""object"": ""W+A"", ""calibrator"": ""minmax""}, ""hw"": {""hardware"": ""rtx4090"", ""d_scheme"": ""GPU""}}",,,,latency: body_subnet_collab2; idle_gpu[phys6;baseline:util0%/mem4MiB;pre:util98%/mem446MiB(foreign=none);post:util97%/mem446MiB]; warmup200/measure200; input=2x64x128x256; nan | energy: E5 collab2 双agent NVML 实测(frame=1)
pyr_64-128-256_FFI,pyramid_fusion,perstage_AP_v2,c5_F_F_I,T_baseline,0.0,none,,64,128,256,1.0,1.0,,pretrained,FP16,FP16,INT8,per_stage_mixed,per_channel_w/per_tensor_a,W+A,minmax,rtx4090,GPU,default,4.0,body_subnet_collab2,1.1889,841.2,inv_latency,1,0.6212394459124626,1789.0,DAIR_val_1789_TRT,forced_all_int8_same_pipeline,,,,,,,,,397.9148,8.48,57.0,97.0,,,,,True,True,ablation_perstage_dominated,independent_measured,real_mixed_engine | m4_9_bench_perstage_v2;CUDA-Event;collab2_shape,quant_config_mixed,,,models/perstage_quant_ap_cache_v2/base_c5_F_F_I.engine,"{""prune"": {""stage_planes"": [64, 128, 256], ""deblocks_keep"": 1.0, ""shrink_keep"": 1.0, ""object"": ""none"", ""criterion"": null}, ""quant"": {""stage_prec"": [""FP16"", ""FP16"", ""INT8""], ""granularity"": ""per_channel_w/per_tensor_a"", ""object"": ""W+A"", ""calibrator"": ""minmax""}, ""hw"": {""hardware"": ""rtx4090"", ""d_scheme"": ""GPU""}}",,,,latency: body_subnet_collab2; idle_gpu[phys6;baseline:util0%/mem4MiB;pre:util0%/mem446MiB(foreign=none);post:util0%/mem446MiB]; warmup200/measure200; input=2x64x128x256; nan | energy: E5 collab2 双agent NVML 实测(frame=1)
